Tên công ty,Mã số thuế,Địa chỉ,Số điện thoại,Người đại diện,Điện thoại cố định,Link
CÔNG TY CỔ PHẦN DƯỢC PHẨM QUỐC TẾ THĂNG LONG,0105544945,"TT10-11, Khu ĐTM Văn Phú, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội",0945536848,LÊ XUÂN HUY,0945536848,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123807
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT TPCOM,,"Số 27 ngõ 149 Nguyễn Ngọc Nại, phường Khương Mai, quận Thanh Xuân, Hà Nội, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Cao Phong,0914036868,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123613
CÔNG TY TNHH GREAT HEALTH VIỆT NAM,,"Số 50 ngách 187/49 phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Thành phố Hà Nội",,Lại Thị Thu Anh,0904524574,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123802
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VÀ DỊCH VỤ TRẦN GIA,,"LK 17-09 Khu Dọc Bún 2, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội",,Lê Thị Thúy Mùi,0962967267,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123804
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VÀ DỊCH VỤ TRẦN GIA,,"LK 17-09 Khu Dọc Bún 2, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội",,Lê Thị Thúy Mùi,0962967267,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123805
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VÀ DỊCH VỤ TRẦN GIA,,"LK 17-09 Khu Dọc Bún 2, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội",,Lê Thị Thúy Mùi,0962967267,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123806
CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM TÂN CƯƠNG,,"Sô 10 tổ 25, ngõ 58/45, Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội., Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội",,Trần Thị Xuân Tân,0913580313,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123809
CÔNG TY TNHH CHUYỂN GIAO CÔNG NGHỆ AN BÌNH,,"Số 4, ngách 898/51 đường Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội",,Nguyễn Thanh Sang,0463265620,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=124122
CÔNG TY CỔ PHẦN CÔNG NGHỆ CHĂM SÓC SỨC KHỎE,,"Tầng 3, Tòa G2, Chung cư Five Star Garden, Số 2 Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Thành phố Hà Nội",,NGUYỄN TƯ CHUẨN,0948318888,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123831
CÔNG TY TNHH THIẾT BỊ Y TẾ TRÀNG THI,,"Biệt thự Long Cảnh Tây 3, Đơn Lập 32, Khu đô thị Vinhomes Thăng Long, Xã An Khánh, Huyện Hoài Đức, thành phố Hà Nội, Việt Nam, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",,Nguyễn Diệu Linh,0988900787,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123716
CÔNG TY TNHH THIẾT BỊ Y TẾ TRÀNG THI,,"Biệt thự Long Cảnh Tây 3, Đơn Lập 32, Khu đô thị Vinhomes Thăng Long, Xã An Khánh, Huyện Hoài Đức, thành phố Hà Nội, Việt Nam, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",,Nguyễn Diệu Linh,0988900787,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123719
CÔNG TY TNHH THIẾT BỊ Y TẾ DANH,,"số 192, đường Đê La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà nội, Việt nam, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",,Nguyễn Quý Khái,0982806668,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=123415
CÔNG TY TNHH THIẾT BỊ AN VIỆT,,"Số 64, Đường Yên Phụ, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội., Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội",,Nguyễn Văn Tuân,0914628917,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D2&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=124114
